id,character,bucket
0950,玫,一级字表
0951,表,一级字表
0952,规,一级字表
0953,抹,一级字表
0954,卦,一级字表
0955,坷,一级字表
0956,坯,一级字表
0957,拓,一级字表
0958,拢,一级字表
0959,拔,一级字表
0960,坪,一级字表
0961,拣,一级字表
0962,坦,一级字表
0963,担,一级字表
0964,坤,一级字表
1155,的,一级字表
1156,迫,一级字表
1157,质,一级字表
1158,欣,一级字表
1159,征,一级字表
1160,往,一级字表
1161,爬,一级字表
1162,彼,一级字表
1163,径,一级字表
1164,所,一级字表
1165,舍,一级字表
1166,金,一级字表
1167,刹,一级字表
1168,命,一级字表
1169,肴,一级字表
1170,斧,一级字表
1171,爸,一级字表
1172,采,一级字表
1173,觅,一级字表
1174,受,一级字表
1175,乳,一级字表
1176,贪,一级字表
1177,念,一级字表
1178,贫,一级字表
1179,忿,一级字表
1180,肤,一级字表
1181,肺,一级字表
1182,肢,一级字表
1183,肿,一级字表
1184,胀,一级字表
1185,朋,一级字表
1186,股,一级字表
1187,肮,一级字表
1188,肪,一级字表
1189,肥,一级字表
1190,服,一级字表
1191,胁,一级字表
1192,周,一级字表
1383,括,一级字表
1384,垢,一级字表
1385,拴,一级字表
1386,拾,一级字表
1387,挑,一级字表
1388,垛,一级字表
1389,指,一级字表
1390,垫,一级字表
1391,挣,一级字表
1392,挤,一级字表
1393,拼,一级字表
1394,挖,一级字表
1395,按,一级字表
1396,挥,一级字表
1397,挪,一级字表
1398,拯,一级字表
1399,某,一级字表
1400,甚,一级字表
1401,荆,一级字表
1402,茸,一级字表
1403,革,一级字表
1404,茬,一级字表
1405,荐,一级字表
1406,巷,一级字表
1407,带,一级字表
1408,草,一级字表
1409,茧,一级字表
1410,茵,一级字表
1411,茶,一级字表
1412,荒,一级字表
1413,茫,一级字表
1414,荡,一级字表
1415,荣,一级字表
1416,荤,一级字表
1417,荧,一级字表
1418,故,一级字表
1419,胡,一级字表
1420,荫,一级字表
1611,饶,一级字表
1612,蚀,一级字表
1613,饺,一级字表
1614,饼,一级字表
1615,峦,一级字表
1616,弯,一级字表
1617,将,一级字表
1618,奖,一级字表
1619,哀,一级字表
1620,亭,一级字表
1621,亮,一级字表
1622,度,一级字表
1623,迹,一级字表
1624,庭,一级字表
1625,疮,一级字表
1626,疯,一级字表
1627,疫,一级字表
1628,疤,一级字表
1629,咨,一级字表
1630,姿,一级字表
1631,亲,一级字表
1632,音,一级字表
1633,帝,一级字表
1634,施,一级字表
1635,闺,一级字表
1636,闻,一级字表
1637,闽,一级字表
1638,阀,一级字表
1639,阁,一级字表
1640,差,一级字表
1641,养,一级字表
1642,美,一级字表
1643,姜,一级字表
1644,叛,一级字表
1645,送,一级字表
1646,类,一级字表
1647,迷,一级字表
1648,籽,一级字表
1839,桐,一级字表
1840,株,一级字表
1841,桥,一级字表
1842,桦,一级字表
1843,栓,一级字表
1844,桃,一级字表
1845,格,一级字表
1846,桩,一级字表
1847,校,一级字表
1848,核,一级字表
1849,样,一级字表
1850,根,一级字表
1851,索,一级字表
1852,哥,一级字表
1853,速,一级字表
1854,逗,一级字表
1855,栗,一级字表
1856,贾,一级字表
1857,酌,一级字表
1858,配,一级字表
1859,翅,一级字表
1860,辱,一级字表
1861,唇,一级字表
1862,夏,一级字表
1863,砸,一级字表
1864,砰,一级字表
1865,砾,一级字表
1866,础,一级字表
1867,破,一级字表
1868,原,一级字表
1869,套,一级字表
1870,逐,一级字表
1871,烈,一级字表
1872,殊,一级字表
1873,殉,一级字表
1874,顾,一级字表
1875,轿,一级字表
1876,较,一级字表
2067,涝,一级字表
2068,浦,一级字表
2069,酒,一级字表
2070,涉,一级字表
2071,消,一级字表
2072,涡,一级字表
2073,浩,一级字表
2074,海,一级字表
